gloss_input,english_input,filipino_output,origin,context_tag
YOU FEEL BAD,You feel bad.,Masama ang pakiramdam mo.,FSL,neutral
I MAKE,I make.,Gumagawa ako.,FSL,neutral
HE STUDY HOME,He's studying at home.,Nag-aaral siya sa bahay.,FSL,place
THEY USE PHONE,They're using a phone.,Gumagamit sila ng telepono.,FSL,object_things
WHY YOU SAD,Why are you sad?,Bakit ka nalulungkot?,FSL,question
AFTERNOON I SLEEP,I sleep in the afternoon.,Sa hapon natutulog ako.,FSL,time
YOU WOULD LIKE COME,You'd like to come with me.,Gusto mong dumating.,FSL,common_verbs
YOU COME WHEN HOME,When are you coming home?,Kailan ka uuwi?,ASL,question
YOU MIGHT COME TODAY,You might come today.,Baka dumating ka ngayon.,FSL,time
YOU SLEEP HOME,You sleep at home.,Natutulog ka sa bahay.,FSL,action
I WILL GO TOMORROW,I'm leaving tomorrow.,Pupunta ako bukas.,FSL,time
I CLEAN,I clean.,Naglilinis ako.,FSL,neutral
I LIKE GREEN,I like green.,Gusto ko ng berde.,FSL,color
TODAY,Today.,Ngayon.,MIXED,time
MORNING I PLAY,I'll play in the morning.,Sa umaga naglalaro ako.,ASL,action
EXCITED WE,We're excited.,Nasasabik tayo.,ASL,emotion
I WEAR RED,I'm wearing red.,Sumusuot ako ng pula.,FSL,neutral
YOU FAR SCHOOL,You are far from school.,Malayo ka sa paaralan.,FSL,place
I GO TO HOME,I go to home.,Uuwi ako.,FSL,place
YOU LOVE FATHER,You love your father.,Mahal mo ang iyong ama.,FSL,people
NO I NO GO,No I will not go.,Hindi ako pupunta.,FSL,common_verbs
THEY LIKE STORE,They like the store.,Gusto nila ang tindahan.,FSL,place
I GO SCHOOL TODAY MORNING,I go to school this morning.,Pumupunta ako sa paaralan ngayong umaga.,FSL,place
YOU MEET WHO TODAY,Who are you seeing today?,Sino ang makikita mo ngayon?,ASL,question
HE ENJOY READ,He likes reading.,Nag-eenjoy siyang magbasa.,FSL,action
FRIEND SIX THEY HAVE,You have six friends.,Mayroon silang anim na kaibigan.,ASL,number
YOU FIX,You're gonna fix it.,Inaayos mo.,FSL,neutral
YOU HAVE PHONE,You have a phone.,Mayroon kang telepono.,FSL,object_things
I RESPECT YOU,I respect you.,Rinerespeto kita.,FSL,neutral
YOU APOLOGIZE TO ME,You apologize to me.,Humihingi ka ng paumanhin sa akin.,FSL,greeting
I BUY TWO CAR,I buy two cars.,Bumibili ako ng dalawang kotse.,FSL,number
HE PREFER GREEN,He prefers green.,Mas gusto niya ang berde.,FSL,color
HE READY,He is ready.,Handa siya.,FSL,neutral
THEY WRITE,You write.,Sumusulat sila.,FSL,action
TOMORROW SHE VISIT,Tomorrow she visits.,Bukas bibisita siya.,FSL,time
I AT WORK,I am at work.,Nasa trabaho ako.,FSL,place
HE GO SCHOOL,He goes to school.,Pumupunta siya sa paaralan.,FSL,common_verbs
I READ QUIET,I read quietly.,Nagbabasa akong tahimik.,FSL,action
BOOK ONE I READ,I read a book.,Nagbabasa ako ng isang libro.,ASL,number
BOOK I HAVE,I have a book.,Mayroon akong libro.,ASL,object_things
GOOD,That's good.,Mabuti iyan.,MIXED,common_verbs
WE READ BOOK,We read books.,Nagbabasa tayo ng mga libro.,FSL,action
YOU WANT RUN WALK SCHOOL,You want to run and walk at school.,Gusto mong tumakbo at maglakad sa paaralan.,FSL,action
YOU WRONG,You are wrong.,Mali ka.,FSL,neutral
YOU MEET FAMILY,You meet your family.,Nakikita mo ang iyong pamilya.,FSL,people
YOU ALWAYS GOOD,You are always good.,Lagi kang mabuti.,FSL,time
MORNING HE RUN,He runs in the morning.,Sa umaga tumatakbo siya.,FSL,time
TOMORROW MORNING WE EAT,We'll eat in the morning.,Bukas ng umaga kakain tayo.,ASL,time
I MORE HAPPY NOW,I am happier now.,Mas masaya ako ngayon.,FSL,emotion
WE SAD,We are sad.,Malungkot tayo.,FSL,emotion
TEN,Ten.,Sampu.,MIXED,number
YOU DO,Do it.,Ginagawa mo.,FSL,neutral
THEY AT STORE,They are at the store.,Nasa tindahan sila.,FSL,place
LOOK HERE,Look here.,Tingnan mo dito.,FSL,imperative
YOU GIVE,You give.,Nagbibigay ka.,FSL,neutral
SURE,Sure.,Sigurado.,MIXED,neutral
HE FINISH WALK,He's coming to an end.,Natapos siyang maglakad.,FSL,action
HE DO,He's doing it.,Ginagawa niya.,FSL,neutral
THEY COME WORK MORNING,They come to work in the morning.,Pumupunta sila sa trabaho sa umaga.,FSL,time
HE NEED GREEN PHONE,He needs a green phone.,Kailangan niya ng berdeng telepono.,FSL,color
YOU EMAIL ME,You're e-mailing me.,Nag-email ka sa akin.,FSL,neutral
HE LIKE GO HOME REST,He likes to go home to rest.,Gusto niyang umuwi para magpahinga.,FSL,place
I BUY BOOK,I buy a book.,Bumibili ako ng libro.,FSL,object_things
I SEND,I send.,Nagpapadala ako.,FSL,neutral
I COME HOME,I'm coming home.,Uuwi ako.,FSL,place
YOU WRITE,You write.,Sumusulat ka.,FSL,action
STOP PLAY,Stop playing.,Tigilan ang paglalaro.,FSL,imperative
SLEEP SHE,She sleeps.,Natutulog siya.,ASL,action
HE WANT GREEN PHONE,He wants a green phone.,Gusto niya ng berdeng telepono.,FSL,color
YOU ANGRY,You're angry.,Galit ka.,FSL,emotion
I HAVE THREE,I have three.,Mayroon akong tatlo.,FSL,number
HOW YOU DO,How do you do it?,Paano mo ginagawa?,FSL,question
YES GOOD,Yes that's good.,Oo mabuti iyan.,MIXED,common_verbs
YOU WEAR BLUE TOMORROW,You wear blue tomorrow.,Susuot ka ng asul bukas.,FSL,color
WALK WE,We're leaving.,Naglalakad tayo.,ASL,action
I STUDY HOME,I'm learning at home.,Nag-aaral ako sa bahay.,FSL,place
SORRY,I apologize.,Humihingi ako ng paumanhin.,FSL,greeting
I THINK YOU COME,I think you will come.,Sa palagay ko darating ka.,FSL,neutral
I SEE,I see.,Nakikita ko.,FSL,neutral
I TALK,I talk.,Nakikipag-usap ako.,FSL,neutral
YOU RARELY ANGRY,You are rarely angry.,Bihirang galit ka.,FSL,emotion
I WORRY YOU,I worry about you.,Nag-aalala ako sa iyo.,FSL,neutral
HE HAVE FOUR HOUSE,He has four houses.,Mayroon siyang apat na bahay.,FSL,number
I DRINK,I am drinking.,Umiinom ako.,FSL,common_verbs
YOU SAD NO HAPPY,You are sad not happy.,Malungkot ka hindi masaya.,MIXED,emotion
WHAT YOU WANT,What do you want?,Ano ang gusto mo?,FSL,question
WHITE THEY LIKE,They like white.,Gusto nila ng puti.,ASL,color
I COUNT ONE,I'll count one.,Binibilang ko ang isa.,FSL,number
I PRACTICE,I'm practicing.,Nagsasanay ako.,FSL,neutral
I GIVE ONE,I'll give you one.,Nagbibigay ako ng isa.,FSL,number
THANKYOU,Thank you.,Salamat.,FSL,greeting
TOMORROW I GO SCHOOL,I'm going to school tomorrow.,Bukas pupunta ako sa paaralan.,FSL,time
YESTERDAY HE GO,Yesterday he left.,Pumunta siya kahapon.,ASL,common_verbs
YOU GO SCHOOL,You go to school.,Pupunta ka sa paaralan.,FSL,place
PLEASE HELP ME TODAY,Please help me today.,Pakiusap tulungan mo ako ngayon.,FSL,imperative
HE MAY HELP US,He could help us.,Maaaring tumulong siya sa atin.,FSL,common_verbs
THANKYOU EVERYONE,Thank you everyone.,Salamat sa inyong lahat.,FSL,greeting
I BELIEVE YOU HELP,I believe you will help.,Naniniwala akong tutulong ka.,FSL,neutral
HE HAVE NEW HOUSE,He has a new house.,Mayroon siyang bagong bahay.,FSL,place
SHE SCHOOL YESTERDAY,She went to school yesterday.,Pumunta siya sa paaralan kahapon.,FSL,time
WHAT FOOD YOU EAT,What kind of food are you eating?,Anong pagkain ang kinakain mo?,FSL,question
WHITE CAR,White car.,Puting kotse.,MIXED,color
I MISS MOTHER,I miss my mother.,Miss ko ang aking ina.,FSL,people
I LOVE YOU FATHER,"I love you, Father.",Mahal kita ama.,ASL,common_verbs
WE EXCITED SCHOOL,We are happy about the school.,Nasasabik tayo sa paaralan.,FSL,emotion
WHY THEY HAPPY,Why are they happy?,Bakit sila masaya?,FSL,question
I CALL FRIEND,I call my friend.,Tumatawag ako sa aking kaibigan.,FSL,neutral
HE HELP FRIEND READ BOOK,He helps his friend to read a book.,Tinutulungan niya ang kanyang kaibigan magbasa ng libro.,FSL,people
I MAY GO HOME,I can go home.,Maaaring umuwi ako.,FSL,place
I WASH,I'll wash.,Naglalaba ako.,FSL,neutral
SORRY FATHER,Sorry father.,Pasensya na ama.,FSL,greeting
I LIVE BIG HOUSE,I live in a big house.,Nakatira ako sa malaking bahay.,FSL,place
THEY RUN YESTERDAY,You ran yesterday.,Tumakbo sila kahapon.,FSL,action
YOU MUST STOP,You have to stop.,Dapat kang tumigil.,FSL,imperative
GREEN HE LIKE,He likes green.,Gusto niya ng berde.,ASL,color
HE STUDY GOOD SCHOOL,He's studying at a good school.,Nag-aaral siya sa mabuting paaralan.,FSL,place
TODAY AFTERNOON SHE SCHOOL,This afternoon she goes to school.,Ngayong hapon pupunta siya sa paaralan.,ASL,time
I REMEMBER NOTHING,I remember nothing.,Wala akong naaalala.,FSL,neutral
WE READ TOMORROW,We will read tomorrow.,Magbabasa tayo bukas.,FSL,action
YOU SLEEP,You are sleeping.,Natutulog ka.,FSL,common_verbs
I LOOK HAPPY,I look happy.,Mukhang masaya ako.,FSL,neutral
HE NOT GIVE UP,He will not give up.,Hindi siya susuko.,FSL,neutral
WE EXCITED MORNING,We're looking forward to it this morning.,Nasasabik tayo ngayong umaga.,FSL,emotion
I DRIVE CAR,I drive a car.,Nagmamaneho ako ng kotse.,FSL,object_things
SHE CALL FATHER,She's calling her father.,Tumatawag siya sa kanyang ama.,FSL,people
WHERE WE MEET,Where do we meet?,Saan tayo magkikita?,FSL,question
WE READ BOOK,We've read a book.,Nagbabasa tayo ng libro.,FSL,object_things
THEY EXCITED SCHOOL,You're excited at school.,Nasasabik sila sa paaralan.,FSL,place
YOU CLEAN,You're clean.,Naglilinis ka.,FSL,neutral
YESTERDAY HE WORK,He worked yesterday.,Kahapon nagtrabaho siya.,ASL,time
THEY COME WHEN,When are they coming?,Kailan sila darating?,ASL,question
YOU WALK TOMORROW,You're leaving tomorrow.,Maglalakad ka bukas.,FSL,action
YOU GO NOW,Go now.,Umalis ka ngayon.,ASL,imperative
YESTERDAY HE GO,Yesterday he went.,Pumunta siya kahapon.,ASL,common_verbs
HE LIKE WRITE,He likes to write.,Gusto niyang sumulat.,FSL,action
MAYBE I GO,Maybe I'll go.,Baka pumunta ako.,FSL,time
SEVEN EIGHT NINE,Seven eight nine.,Pito walo siyam.,MIXED,number
HE HAPPY WORK,He is happy at work.,Masaya siya sa trabaho.,FSL,place
I FORGET,I forget.,Nakalimutan ko.,FSL,neutral
HE WEAR BLACK YESTERDAY,He was wearing black yesterday.,Sumuot siya ng itim kahapon.,FSL,color
HE CAN HELP YOU TODAY,He can help you today.,Makakatulong siya sa iyo ngayon.,FSL,common_verbs
HE DRAW GREEN,He draws green.,Gumaguhit siya ng berde.,FSL,color
HE SEE WATER,He sees water.,Nakikita niya ang tubig.,FSL,object_things
YOU VERY SAD LEAVE,You're very sad to go.,Napakalungkot mong umalis.,FSL,emotion
I CHECK,I'm checking.,Sinusuri ko.,FSL,neutral
I HAVE PROBLEM,I have a problem.,Mayroon akong problema.,FSL,neutral
I MEET FRIEND TOMORROW HOME,I'll meet my friend at home tomorrow.,Makikita ko ang aking kaibigan bukas sa bahay.,FSL,people
I GIVE TWO,I give two.,Nagbibigay ako ng dalawa.,FSL,number
YOU CAN RUN FAST,You can walk fast.,Makakatakbo kang mabilis.,FSL,action
YOU MAKE ME SAD,You make me sad.,Pinapalungkot mo ako.,FSL,emotion
ANGRY HE,He's angry.,Galit siya.,ASL,emotion
WE FIND FOOD,We find food.,Nakahanap tayo ng pagkain.,FSL,object_things
YOU WALK,You walk.,Naglalakad ka.,FSL,action
YOU EAT,You are eating.,Kumakain ka.,FSL,common_verbs
THEY NO COME,They don't come.,Hindi sila darating.,FSL,neutral
YOU AT STORE,You are at the store.,Nasa tindahan ka.,FSL,place
HE CAN WRITE GOOD,He's good at writing.,Makakasulat siyang mabuti.,FSL,action
I LIKE BIG HOUSE,I like big houses.,Gusto ko ng malaking bahay.,FSL,place
YOU AT FARM,You're on the farm.,Nasa bukid ka.,FSL,place
YOU WORK YESTERDAY AFTERNOON,You worked yesterday afternoon.,Nagtrabaho ka kahapon ng hapon.,FSL,time
SCARED THEY,You're scared.,Takot sila.,ASL,emotion
I DRIVE CAR HOME,I'll drive the car home.,Nagmamaneho ako ng kotse pauwi.,FSL,neutral
I LIKE READ,I like to read.,Gusto kong magbasa.,FSL,action
YOU WALK,You are walking.,Naglalakad ka.,FSL,common_verbs
TODAY YOU GO SCHOOL,You're going to school today.,Ngayon pupunta ka sa paaralan.,FSL,place
WHEN SHE STUDY,When does she learn?,Kailan siya nag-aaral?,FSL,question
YOU CLOSE BOOK,They're closing the book.,Isinasara mo ang libro.,FSL,neutral
YOU SOON COME,You will come soon.,Darating ka mamaya.,FSL,time
I LIKE RUN,I like to run.,Gusto kong tumakbo.,FSL,action
HE HAVE PHONE,He's got a phone.,Mayroon siyang telepono.,FSL,object_things
I TAKE,I take.,Kumukunha ako.,FSL,neutral
SCHOOL YOU HAPPY,You're happy at school.,Masaya ka sa paaralan.,ASL,place
YOU SUPPORT ME,You're supporting me.,Sinusuportahan mo ako.,FSL,neutral
YOU HELP MOTHER,You help your mother.,Tinutulungan mo ang iyong ina.,FSL,people
I GIVE,I give.,Nagbibigay ako.,FSL,neutral
YOU LEARN READ,You learn to read.,Natututo kang magbasa.,FSL,action
FRIEND,Friend.,Kaibigan.,MIXED,people
EXCITED WE,We are excited.,Nasasabik tayo.,ASL,emotion
I GO TOMORROW,I'm leaving tomorrow.,Pupunta ako bukas.,FSL,time
I MAKE,I deserve it.,Gumagawa ako.,FSL,neutral
HE WORRIED ABOUT IT,He's worried about it.,Nag-aalala siya tungkol dito.,FSL,emotion
WE PLAY THEY,We play with them.,Naglalaro tayo kasama sila.,FSL,action
I TRY,I'm trying.,Sinusubukan ko.,FSL,neutral
SHE VERY TIRED,She is very tired.,Napakagod niya.,FSL,emotion
HE CALL MOTHER WHEN,When's he gonna call his mother?,Kailan siya tumatawag sa kanyang ina?,ASL,question
YOU BUY,You're buying.,Bumibili ka.,FSL,neutral
YOU STILL SCHOOL,You are still at school.,Nasa paaralan ka pa rin.,FSL,place
YOU BRING,You bring it.,Dala mo.,FSL,neutral
I WANT BOOK,I want a book.,Gusto ko ng libro.,FSL,object_things
THEY SELDOM VISIT,They seldom visit.,Bihirang bumibisita sila.,FSL,time
GOOD YOU,You are good.,Mabuti ka.,ASL,common_verbs
CAR YOU HAVE,You have a car.,Mayroon kang kotse.,ASL,object_things
THEY HOME NIGHT,You go home at night.,Umuuwi sila sa gabi.,FSL,time
SAD YOU ME,You're sad about me.,Malungkot ka tungkol sa akin.,ASL,emotion
THEY PLAY TOMORROW,They will play tomorrow.,Maglalaro sila bukas.,FSL,time
I WRITE,I'm writing.,Sumusulat ako.,FSL,common_verbs
YOU HEAR,You hear.,Naririnig mo.,FSL,neutral
YOU READ,You read.,Nagbabasa ka.,FSL,action
I NO LONGER HAPPY,I'm not happy anymore.,Hindi na ako masaya.,FSL,emotion
YOU SLEEP WHAT TIME,What time do you sleep?,Anong oras ka natutulog?,ASL,question
I FEEL COLD,I'm cold.,Ginginaw ako.,FSL,neutral
WE AT WORK,We are at work.,Nasa trabaho tayo.,FSL,place
SHE WALK,She's leaving.,Naglalakad siya.,FSL,action
YOU HELP ME NOW,You help me now.,Tulungan mo ako ngayon.,ASL,imperative
YOU HAPPY SCHOOL,You are happy at school.,Masaya ka sa paaralan.,FSL,place
I LEARN SOMETHING,I'm learning something.,Natututo ako ng isang bagay.,FSL,neutral
THEY SLEEP,They sleep.,Natutulog sila.,FSL,action
I COUNT ONE TWO THREE,"I'll count one, two, three.",Binibilang ko isa dalawa tatlo.,FSL,number
I CHARGE PHONE,I'm charging my phone.,Cinacharge ko ang aking telepono.,FSL,neutral
TOMORROW YOU COME HOME,Tomorrow you come home.,Bukas uuwi ka.,FSL,time
HE WITH FRIEND,He's with his friend.,Kasama niya ang kanyang kaibigan.,FSL,people
SHE MEET MOTHER,She meets her mother.,Nakikita niya ang kanyang ina.,FSL,people
YOU CLOSE BOOK,You close the book.,Isinasara mo ang libro.,FSL,neutral
WHEN HE GO WORK,When does he go to work?,Kailan siya pumupunta sa trabaho?,FSL,question
YOU HAVE ONE,You got one.,Mayroon kang isa.,FSL,number
YOU TAKE,You take it.,Kumukunha ka.,FSL,neutral
I PAY,I pay.,Nagbabayad ako.,FSL,neutral
HE WAKE WHAT TIME,What time does he wake up?,Anong oras siya gumigising?,ASL,question
FRIEND GOOD,My friend's good.,Mabuti ang aking kaibigan.,ASL,people
MAYBE I GO,Maybe I will go.,Baka pumunta ako.,FSL,time
HE SPEAK,He's talking.,Nagsasalita siya.,FSL,neutral
YOU SORRY FOR ME,You are sorry for me.,Nakakaawa ako.,FSL,emotion
YOU COME FROM SCHOOL,You come from school.,Galing ka sa paaralan.,FSL,place
TOMORROW WE EAT,We'll eat tomorrow.,Bukas kakain tayo.,ASL,time
YOU UNDERSTAND LATER,You will understand later.,Maiintindihan mo mamaya.,FSL,neutral
SHE LOOK BEAUTIFUL,She looks beautiful.,Mukhang maganda siya.,FSL,neutral
I LIKE BLUE MORE,I like blue more.,Mas gusto ko ang asul.,FSL,color
I SOMETIMES SAD,I am sometimes sad.,Minsan malungkot ako.,FSL,time
FIVE PHONE,Five phones.,Limang telepono.,MIXED,number
YOU UNCERTAIN,You're insecure.,Hindi ka tiyak.,FSL,neutral
HOW WE GO,How do we go?,Paano tayo pupunta?,FSL,question
I FIND BOOK,I'll find a book.,Nakahanap ako ng libro.,FSL,object_things
YOU READ,You're reading.,Nagbabasa ka.,FSL,common_verbs
I HAPPY HOME FAMILY TODAY,I am happy at home with my family today.,Masaya ako sa bahay kasama ang aking pamilya ngayon.,FSL,emotion
HE LIKE PURPLE,He likes purple.,Gusto niya ng lila.,FSL,color
I GIVE MY MOTHER,I give to my mother.,Nagbibigay ako sa aking ina.,FSL,people
YOU WRITE,You are writing.,Sumusulat ka.,FSL,common_verbs
HE HAVE THREE MORE,He's got three more.,Mayroon siyang tatlo pa.,FSL,number
WE READY,We're ready.,Handa tayo.,FSL,neutral
HE HAPPY WORK,He's happy at work.,Masaya siya sa trabaho.,FSL,place
THEY PLAY TODAY,They play today.,Naglalaro sila ngayon.,FSL,time
NO I NO HELP,No I will not help.,Hindi ako tutulong.,MIXED,common_verbs
SHE WRITE BOOK,She writes a book.,Sumusulat siya ng libro.,FSL,common_verbs
HE WALK FATHER,He's going with his father.,Naglalakad siya kasama ang kanyang ama.,FSL,action
I LIKE MANY THING,I like a lot of things.,Gusto ko ng maraming bagay.,FSL,number
YOU LOVE YOUR MOTHER,You love your mother.,Mahal mo ang iyong ina.,FSL,people
TOMORROW SHE GO STORE,Tomorrow she's going to the store.,Bukas pupunta siya sa tindahan.,FSL,place
I HAVE ONE BOOK RED,I have a red book.,Mayroon akong isang pulang libro.,FSL,number
WHEN SHE COME,When's she coming?,Kailan siya dumarating?,FSL,question
YOU COOK,You cook.,Nagluluto ka.,FSL,neutral
GO YOU THERE,Go over there.,Pumunta ka doon.,ASL,imperative
HE INSIDE HOUSE,He is inside the house.,Nasa loob siya ng bahay.,FSL,place
THEY TIRED,They are tired.,Pagod sila.,FSL,emotion
I HAVE PHONE,I have a phone.,Mayroon akong telepono.,FSL,object_things
HE MUST GO WORK,He has to go to work.,Dapat siyang pumunta sa trabaho.,FSL,place
YOU STOP NOW,You stop now.,Tumigil ka ngayon.,ASL,imperative
YOU MEET FATHER,You meet your father.,Nakikita mo ang iyong ama.,FSL,people
YOU HAVE PROBLEM,You have a problem.,Mayroon kang problema.,FSL,neutral
WHAT MAKE HE SAD,What makes him sad?,Ano ang nagpalulungkot sa kanya?,FSL,question
HE GO TO WORK,He's going to work.,Pupunta siya sa trabaho.,FSL,place
THEY NEED WHITE,They need white.,Kailangan nila ng puti.,FSL,color
HE LIKE SHE HELP HE,He likes them to help him.,Gusto niyang tulungan siya nito.,FSL,common_verbs
HE AT HOME,He's home.,Nasa bahay siya.,FSL,place
WE DRIVE CAR,We drive a car.,Nagmamaneho tayo ng kotse.,FSL,object_things
WHO YOU LIKE,Who do you like?,Sino ang gusto mo?,FSL,question
WHEN YOU COME,When will you come?,Kailan ka darating?,FSL,question
SORRY FATHER,"I'm sorry, Father.",Pasensya na ama.,FSL,greeting
YOU COME SCHOOL TODAY AFTERNOON,You come to school this afternoon.,Pupunta ka sa paaralan ngayong hapon.,FSL,time
HE PLAY WITH FRIEND,He plays with his friend.,Naglalaro siya kasama ang kanyang kaibigan.,FSL,people
SCHOOL YOU READ,You read at school.,Nagbabasa ka sa paaralan.,ASL,action
SAD YOU,You are sad.,Malungkot ka.,ASL,emotion
I GIVE UP,I give up.,Sumusuko ako.,FSL,neutral
HE WRITE YESTERDAY,He wrote yesterday.,Sumulat siya kahapon.,FSL,action
YOU MEAN IT,You're serious.,Seryoso ka.,FSL,neutral
HE HAVE BOOK,He has a book.,Mayroon siyang libro.,FSL,object_things
WE STUDY,We study.,Nag-aaral tayo.,FSL,neutral
HE LEAVE HOME,He leaves home.,Umaalis siya sa bahay.,FSL,place
MOTHER GOOD,My mother is good.,Mabuti ang aking ina.,ASL,people
SHE LIKE HE,She likes him.,Gusto niya siya.,ASL,common_verbs
RED,Red.,Pula.,MIXED,color
YOU MUST COME,You must come.,Dapat kang dumating.,FSL,imperative
TEN THING,Ten things.,Sampung bagay.,MIXED,number
YOU COUNT THREE,You count three.,Binibilang mo ang tatlo.,FSL,number
YOU ALREADY FINISH,You already finished.,Natapos mo na.,FSL,time
YOU TAKE FOUR,You take four.,Kinukuha mo ang apat.,FSL,number
HE OFTEN TIRED,He is often tired.,Madalas pagod siya.,FSL,emotion
HE SEEM SAD,He seems sad.,Tila malungkot siya.,FSL,emotion
I WONDER ABOUT IT,I wonder about it.,Nag-iisip ako tungkol dito.,FSL,neutral
YOU SEEM HAPPY,You seem happy.,Tila masaya ka.,FSL,emotion
YOU GO WHERE TODAY,Where do you go today?,Saan ka pupunta ngayon?,ASL,question
YOU WORRY ABOUT ME,You're worried about me.,Nag-aalala ka sa akin.,FSL,neutral
NIGHT THEY HOME,At night they go home.,Sa gabi umuuwi sila.,ASL,time
YOU HELP YOUR FATHER,You help your father.,Tinutulungan mo ang iyong ama.,FSL,people
YOU TELL LIE,You're telling a lie.,Sinasabi mo ang kasinungalingan.,FSL,neutral
HEY YOU,"Hey, you!",Hoy ikaw!,MIXED,greeting
TODAY I GO HOME,Today I go home.,Ngayon uuwi ako.,FSL,place
